App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Facebook,Social,4.1,78000000,Varies with device,1000000000,Free,0,Everyone,Social;Communication,2021-09-01,Varies with device,Varies with device
Instagram,Social,4.5,100000000,Varies with device,1000000000,Free,0,Everyone,Social;Photography,2021-09-01,Varies with device,Varies with device
WhatsApp Messenger,Communication,4.2,1000000000,Varies with device,500000000,Free,0,Everyone,Communication;Social,2021-09-01,Varies with device,Varies with device
YouTube,Video Players,4.2,1000000000,Varies with device,1000000000,Free,0,Everyone,Video Players;Music,2021-09-01,Varies with device,Varies with device
Google Maps,Travel & Local,4.3,1000000000,Varies with device,1000000000,Free,0,Everyone,Travel & Local;Navigation,2021-09-01,Varies with device,Varies with device
Spotify,Music & Audio,4.5,1000000000,Varies with device,1000000000,Free,0,Everyone,Music & Audio;Music,2021-09-01,Varies with device,Varies with device
Snapchat,Social,4.0,1000000000,Varies with device,1000000000,Free,0,Everyone,Social;Photography,2021-09-01,Varies with device,Varies with device
Pinterest,Social,4.5,1000000000,Varies with device,1000000000,Free,0,Everyone,Social;Photography,2021-09-01,Varies with device,Varies with device
Twitter,Social,4.2,1000000000,Varies with device,1000000000,Free,0,Everyone,Social;Communication,2021-09-01,Varies with device,Varies with device
TikTok,Social,4.5,1000000000,Varies with device,1000000000,Free,0,Everyone,Social;Video,2021-09-01,Varies with device,Varies with device
